simulationId,age,partBody,time,phase,traineeId,Nacciones
17,33,"pelvis",30,"prehospitalaria",2,1
18,33,"pelvis",30,"hospitalaria",2,1
19,50,"pelvis",30,"hospitalaria",2,1
20,82,"pelvis",30,"hospitalaria",2,1
21,33,"leftLeg",30,"hospitalaria",2,1
22,82,"pelvis",30,"prehospitalaria",2,1
23,33,"leftLeg",30,"prehospitalaria",2,1
24,50,"pelvis",30,"prehospitalaria",2,1
25,82,"leftLeg",30,"prehospitalaria",2,1
26,50,"leftLeg",30,"prehospitalaria",2,1
27,50,"leftLeg",30,"hospitalaria",2,1
28,82,"leftLeg",30,"hospitalaria",2,1
29,33,"pelvis",30,"prehospitalaria",3,1
30,33,"pelvis",30,"hospitalaria",3,4
31,82,"pelvis",30,"prehospitalaria",3,1
32,50,"pelvis",30,"prehospitalaria",3,1
33,50,"pelvis",30,"hospitalaria",3,1
34,82,"pelvis",30,"hospitalaria",3,1
35,33,"leftLeg",30,"hospitalaria",3,2
36,33,"leftLeg",30,"prehospitalaria",3,1
37,50,"leftLeg",30,"hospitalaria",3,1
38,82,"leftLeg",30,"hospitalaria",3,1
39,82,"leftLeg",30,"prehospitalaria",3,1
40,50,"leftLeg",30,"prehospitalaria",3,1
49,33,"pelvis",30,"prehospitalaria",1,1
50,82,"pelvis",30,"prehospitalaria",1,1
51,82,"pelvis",30,"hospitalaria",1,1
52,33,"pelvis",30,"hospitalaria",1,1
53,33,"leftLeg",30,"prehospitalaria",1,4
54,33,"leftLeg",30,"hospitalaria",1,24
55,50,"pelvis",30,"hospitalaria",1,1
56,50,"pelvis",30,"prehospitalaria",1,10
57,50,"leftLeg",30,"hospitalaria",1,10
58,50,"leftLeg",30,"prehospitalaria",1,1
59,82,"leftLeg",30,"hospitalaria",1,10
60,82,"leftLeg",30,"prehospitalaria",1,1
77,33,"pelvis",30,"prehospitalaria",7,110
78,82,"leftLeg",30,"hospitalaria",7,127
79,33,"pelvis",30,"hospitalaria",7,81
80,50,"leftLeg",30,"prehospitalaria",7,51
81,82,"leftLeg",30,"prehospitalaria",7,252
82,50,"pelvis",30,"hospitalaria",7,357
83,50,"pelvis",30,"prehospitalaria",7,78
84,33,"leftLeg",30,"hospitalaria",7,11
85,82,"pelvis",30,"hospitalaria",7,160
86,82,"pelvis",30,"prehospitalaria",7,118
87,33,"leftLeg",30,"prehospitalaria",7,308
88,50,"leftLeg",30,"hospitalaria",7,314
89,33,"pelvis",30,"prehospitalaria",5,38
90,82,"leftLeg",30,"prehospitalaria",5,1
91,82,"pelvis",30,"prehospitalaria",5,2
92,82,"pelvis",30,"hospitalaria",5,53
93,33,"leftLeg",30,"hospitalaria",5,2
94,50,"pelvis",30,"hospitalaria",5,1
95,50,"pelvis",30,"prehospitalaria",5,95
96,33,"pelvis",30,"hospitalaria",5,2
97,33,"leftLeg",30,"prehospitalaria",5,5
98,50,"leftLeg",30,"hospitalaria",5,4
99,82,"leftLeg",30,"hospitalaria",5,93
100,50,"leftLeg",30,"prehospitalaria",5,4
101,33,"pelvis",30,"hospitalaria",8,25
102,33,"pelvis",30,"prehospitalaria",8,53
103,82,"leftLeg",30,"prehospitalaria",8,30
104,50,"pelvis",30,"prehospitalaria",8,15
105,82,"pelvis",30,"prehospitalaria",8,22
106,33,"leftLeg",30,"hospitalaria",8,13
107,82,"pelvis",30,"hospitalaria",8,21
108,50,"pelvis",30,"hospitalaria",8,27
109,33,"leftLeg",30,"prehospitalaria",8,52
110,50,"leftLeg",30,"hospitalaria",8,18
111,50,"leftLeg",30,"prehospitalaria",8,70
112,82,"leftLeg",30,"hospitalaria",8,30
121,33,"leftLeg",30,"prehospitalaria",9,188
122,33,"pelvis",30,"prehospitalaria",9,128
123,33,"leftLeg",30,"hospitalaria",9,280
124,50,"leftLeg",30,"hospitalaria",9,554
125,50,"leftLeg",30,"prehospitalaria",9,224
126,82,"leftLeg",30,"hospitalaria",9,2
127,82,"leftLeg",30,"prehospitalaria",9,151
128,33,"pelvis",30,"hospitalaria",9,207
129,50,"pelvis",30,"hospitalaria",9,29
130,50,"pelvis",30,"prehospitalaria",9,26
131,82,"pelvis",30,"prehospitalaria",9,24
132,82,"pelvis",30,"hospitalaria",9,27
141,82,"leftLeg",30,"prehospitalaria",10,28
142,33,"pelvis",30,"prehospitalaria",10,22
143,82,"leftLeg",30,"hospitalaria",10,22
144,33,"leftLeg",30,"hospitalaria",10,29
145,33,"pelvis",30,"hospitalaria",10,23
146,50,"pelvis",30,"prehospitalaria",10,33
147,33,"leftLeg",30,"prehospitalaria",10,31
148,50,"leftLeg",30,"hospitalaria",10,23
149,82,"pelvis",30,"prehospitalaria",10,21
150,82,"pelvis",30,"hospitalaria",10,44
151,50,"pelvis",30,"hospitalaria",10,21
152,50,"leftLeg",30,"prehospitalaria",10,32
153,50,"leftLeg",30,"prehospitalaria",11,45
154,33,"pelvis",30,"prehospitalaria",11,19
155,82,"leftLeg",30,"hospitalaria",11,16
156,33,"pelvis",30,"hospitalaria",11,21
157,82,"leftLeg",30,"prehospitalaria",11,56
158,82,"pelvis",30,"prehospitalaria",11,19
159,50,"pelvis",30,"prehospitalaria",11,10
160,50,"pelvis",30,"hospitalaria",11,25
161,82,"pelvis",30,"hospitalaria",11,34
162,33,"leftLeg",30,"hospitalaria",11,15
163,33,"leftLeg",30,"prehospitalaria",11,21
164,50,"leftLeg",30,"hospitalaria",11,20
173,33,"pelvis",30,"prehospitalaria",12,29
174,33,"pelvis",30,"hospitalaria",12,63
175,50,"pelvis",30,"prehospitalaria",12,107
176,82,"pelvis",30,"hospitalaria",12,1
177,82,"pelvis",30,"prehospitalaria",12,26
178,50,"pelvis",30,"hospitalaria",12,22
179,33,"leftLeg",30,"hospitalaria",12,24
180,50,"leftLeg",30,"prehospitalaria",12,32
181,50,"leftLeg",30,"hospitalaria",12,1
182,82,"leftLeg",30,"hospitalaria",12,22
183,33,"leftLeg",30,"prehospitalaria",12,29
184,82,"leftLeg",30,"prehospitalaria",12,24
201,33,"pelvis",30,"prehospitalaria",16,9
202,82,"pelvis",30,"prehospitalaria",16,1
203,50,"pelvis",30,"hospitalaria",16,1
204,50,"pelvis",30,"prehospitalaria",16,1
205,33,"pelvis",30,"hospitalaria",16,1
206,82,"pelvis",30,"hospitalaria",16,1
207,33,"leftLeg",30,"hospitalaria",16,1
208,33,"leftLeg",30,"prehospitalaria",16,1
209,82,"leftLeg",30,"hospitalaria",16,1
210,50,"leftLeg",30,"hospitalaria",16,1
211,82,"leftLeg",30,"prehospitalaria",16,1
212,50,"leftLeg",30,"prehospitalaria",16,1
213,33,"pelvis",30,"prehospitalaria",15,1
214,82,"pelvis",30,"prehospitalaria",15,1
215,50,"pelvis",30,"prehospitalaria",15,1
