simulationId,age,partBody,time,phase,traineeId,Nacciones
1,21,"pelvis",30,"prehospitalaria",1,1
2,22,"pelvis",30,"hospitalaria",1,1
5,21,"leftLeg",30,"prehospitalaria",1,25
7,22,"leftLeg",30,"hospitalaria",1,1
9,21,"pelvis",30,"prehospitalaria",2,4
10,22,"pelvis",30,"hospitalaria",2,1
11,21,"leftLeg",30,"prehospitalaria",2,18
15,22,"leftLeg",30,"hospitalaria",2,6
41,21,"pelvis",30,"prehospitalaria",3,1
43,21,"leftLeg",30,"prehospitalaria",3,1
44,22,"pelvis",30,"hospitalaria",3,1
46,22,"leftLeg",30,"hospitalaria",3,1
61,21,"pelvis",30,"prehospitalaria",5,120
62,22,"leftLeg",30,"hospitalaria",5,19
65,22,"pelvis",30,"hospitalaria",5,30
66,21,"leftLeg",30,"prehospitalaria",5,26
69,21,"pelvis",30,"prehospitalaria",7,361
73,22,"pelvis",30,"hospitalaria",7,21
75,22,"leftLeg",30,"hospitalaria",7,263
76,21,"leftLeg",30,"prehospitalaria",7,26
113,21,"pelvis",30,"prehospitalaria",9,29
114,22,"pelvis",30,"hospitalaria",9,27
115,21,"leftLeg",30,"prehospitalaria",9,28
119,22,"leftLeg",30,"hospitalaria",9,19
133,21,"pelvis",30,"prehospitalaria",10,22
134,21,"leftLeg",30,"prehospitalaria",10,12
137,22,"leftLeg",30,"hospitalaria",10,24
138,22,"pelvis",30,"hospitalaria",10,17
165,21,"pelvis",30,"prehospitalaria",12,22
169,22,"pelvis",30,"hospitalaria",12,14
171,22,"leftLeg",30,"hospitalaria",12,15
172,21,"leftLeg",30,"prehospitalaria",12,112
187,22,"pelvis",30,"hospitalaria",13,25
188,21,"pelvis",30,"prehospitalaria",13,50
189,21,"leftLeg",30,"prehospitalaria",13,23
190,22,"leftLeg",30,"hospitalaria",13,55
193,21,"pelvis",30,"prehospitalaria",14,1
195,21,"leftLeg",30,"prehospitalaria",14,1
196,22,"pelvis",30,"hospitalaria",14,1
198,22,"leftLeg",30,"hospitalaria",14,1
237,21,"pelvis",30,"prehospitalaria",17,1
240,22,"pelvis",30,"hospitalaria",17,26
242,21,"leftLeg",30,"prehospitalaria",17,1
243,22,"leftLeg",30,"hospitalaria",17,1
245,21,"pelvis",30,"prehospitalaria",18,27
246,22,"pelvis",30,"hospitalaria",18,54
247,22,"leftLeg",30,"hospitalaria",18,31
250,21,"leftLeg",30,"prehospitalaria",18,37
265,21,"pelvis",30,"prehospitalaria",21,33
266,22,"pelvis",30,"hospitalaria",21,24
269,21,"leftLeg",30,"prehospitalaria",21,1
271,22,"leftLeg",30,"hospitalaria",21,1
285,21,"pelvis",30,"prehospitalaria",23,1
286,22,"pelvis",30,"hospitalaria",23,1
289,22,"leftLeg",30,"hospitalaria",23,1
290,21,"leftLeg",30,"prehospitalaria",23,1
294,21,"pelvis",30,"prehospitalaria",24,1
296,22,"pelvis",30,"hospitalaria",24,1
297,21,"leftLeg",30,"prehospitalaria",24,1
298,22,"leftLeg",30,"hospitalaria",24,1
301,21,"pelvis",30,"prehospitalaria",19,56
302,22,"pelvis",30,"hospitalaria",19,24
305,22,"leftLeg",30,"hospitalaria",19,29
307,21,"leftLeg",30,"prehospitalaria",19,80
309,21,"pelvis",30,"prehospitalaria",25,24
310,22,"pelvis",30,"hospitalaria",25,29
312,21,"leftLeg",30,"prehospitalaria",25,26
314,22,"leftLeg",30,"hospitalaria",25,78
329,21,"pelvis",30,"prehospitalaria",26,46
331,22,"pelvis",30,"hospitalaria",26,1
333,21,"leftLeg",30,"prehospitalaria",26,12
334,22,"leftLeg",30,"hospitalaria",26,17
361,22,"pelvis",30,"hospitalaria",28,1
362,21,"pelvis",30,"prehospitalaria",28,1
363,21,"leftLeg",30,"prehospitalaria",28,1
367,22,"leftLeg",30,"hospitalaria",28,1
